stadiumName,capacity,street,city,postalCode,country
Amex Stadium,30750,Village Way,Brighton,BN1 9BL,England
Anfield Stadium,53394,Anfield Road,Liverpool,L4 0TH,England
Bramall Lane,32702,Bramall Lane,Sheffield,S2 4SU,England
Craven Cottage,25700,Stevenage Road,London,SW6 6HH
Emirates Stadium,60260,Hornsey Road,London,N7 7AJ,England
Etihad Stadium,55097,Ashton New Road,Manchester,M11 3FF,England
Elland Road,37916,Elland Road,Leeds,LS11 0ES,England
Goodison Park,39571,Gwladys Street,Liverpool,L4 4EL,England
King Power Stadium,32312,Filbert Way,Leicester,LE2 7FL,England
London Stadium,60000,Queen Elizabeth Olympic Park,London,E20 2ST,England
Molineux Stadium,32757,Waterloo Road,Wolverhampton,WV1 4QR,England
Old Trafford,74879,Sir Matt Busby Way,Manchester,M16 0RA,England
Selhurst Park,25486,Holmesdale Road,London,SE25 6PU,England
St James' Park,52338,Strawberry Place,Newcastle upon Tyne,NE1 4ST,England
Saint Mary's Stadium,32505,Britannia Road,Southampton,SO14 5FP,England
Stamford Bridge,41837,Fulham Road,London,SW6 1HS,England
The Hawthorns,26688,Halfords Lane,West Bromwich,B71 4LF,England
Tottenham Hotspur Stadium,62062,Bill Nicholson Way,London,N17 0AP,England
Turf Moor,21401,Harry Potts Way,Burnley,BB10 4BX,England
Villa Park,42785,Trinity Road,Birmingham,B6 6HE,England